NAP,44.32,Tissage de soierie
NAP,44.33,Industrie du jute
NAP,44.34,Fabrication de tapis
NAP,44.35,Fabrication de feutre
NAP,44.36,Fabrication d'étoffes non tissées ni tricotées
NAP,44.37,Enduction d'étoffes
NAP,44.38,Fabrication de produits textiles élastiques
NAP,44.39,"Ficellerie, corderie, fabrication de filets"
NAP,44.40,Ouaterie
NAP,44.41,"Fabrication de dentelles, tulles, broderies et guipures"
NAP,44.42,"Fabrication de rubans, tresses, passementeries et articles textiles divers"
NAP,47.01,Confection de vêtements masculins
NAP,47.02,Confection de vêtements féminins
NAP,47.03,Confection de vêtements pour enfants
NAP,47.04,Habillement sur mesure
NAP,47.05,Confection de chemiserie et lingerie
NAP,47.06,Confection de vêtements en matières plastiques
NAP,47.07,"Confection de corsets, gaines et soutien-gorges"
NAP,47.08,Confection de chapellerie pour hommes et femmes
NAP,47.09,Fabrication d'accessoires divers de l'habillement
NAP,47.10,Fabrication de pelleterie et fourrures
NAP,45.11,"Tannerie, mégisserie"
NAP,45.21,"Fabrication d'articles de maroquinerie, d'articles de voyage et de chasse"
NAP,45.22,Fabrication de gants
NAP,45.23,Fabrication d'articles divers en cuir et similaires
NAP,46.01,Fabrication de chaussures et d'autres articles chaussants
NAP,48.01,Scierie
NAP,48.02,Fabrication d'éléments de charpente et de menuiseries de bâtiment
NAP,48.03,"Fabrication de parquets, moulures et baguettes"
NAP,48.04,"Fabrication et transformation de panneaux, bois de placage, bois améliorés et traités"
NAP,48.05,Fabrication d'emballages en bois
NAP,48.06,Fabrication de bâtiments préfabriqués légers
NAP,48.07,Fabrication d'objets divers en bois
NAP,49.01,Fabrication de meubles meublants
NAP,49.02,Fabrication de sièges
NAP,49.03,Fabrication de meubles de cuisine et meubles en bois blanc
NAP,49.04,Fabrication de literie
NAP,49.05,Fabrication de meubles divers et industries connexes à l'industrie de l'ameublement
NAP,49.06,Fabrication de mobilier fonctionnel non métallique
NAP,54.01,"Fabrication de jeux, jouets et d'articles de puériculture"
NAP,54.02,Fabrication d'articles de sport et de campement
NAP,54.03,Fabrication de bateaux de plaisance
NAP,54.04,"Bijouterie, joaillerie"
NAP,54.05,Fabrication d'instruments de musique
NAP,54.06,Fabrication d'articles de bureau et d'articles de paris
NAP,54.07,"Fabrication d'accessoires d'ameublement en bronze et fer forgé, statuettes et articles funéraires"
NAP,54.08,"Fabrication d'articles de brosserie, d'articles de vannerie et d'articles en liège"
NAP,54.09,Laboratoires photographiques et cinématographiques
NAP,54.10,Fabrication d'articles divers non désignés ailleurs
NAP,51.01,Agences de presse
NAP,51.10,Imprimerie de labeur
NAP,51.11,Industries connexes à l'imprimerie
NAP,51.12,Edition
NAP,51.20,Presse
NAP,51.30,"Edition de disques, bandes et cassettes enregistrées"
NAP,55.10,Travaux d'aménagement des terres et des eaux ; voirie ; parcs et jardins
NAP,55.11,Construction de lignes de transport d'électricité
NAP,55.12,Travaux d'infrastructure générale
NAP,55.13,Construction de chaussées
NAP,55.20,"Entreprises de forages, sondages ; fondations spéciales"
NAP,55.30,Construction d'ossatures autres que métalliques
NAP,55.31,"Installation industrielle, montage levage"
NAP,55.40,Installation électrique
NAP,55.50,Construction industrialisée
NAP,55.60,Maçonnerie et travaux courants de béton armé
NAP,55.70,Génie climatique
NAP,55.71,Menuiserie-serrurerie
NAP,55.72,"Couverture, plomberie, installations sanitaires"
NAP,55.73,"Aménagements, finitions"
NAP,57.01,Commerce de gros de matières premières agricoles
NAP,57.02,Commerce de gros de bestiaux
NAP,57.03,Commerce de gros de fruits et légumes
NAP,57.04,Commerce de gros de viandes sans abattage
NAP,57.05,Commerce de gros de produits laitiers
NAP,57.06,Commerce de gros de volailles et gibiers
NAP,57.07,Commerce de gros de poissons
NAP,57.08,"Commerce de gros de vins, spiritueux, liqueurs"
NAP,57.09,Commerce de gros d'autres boissons
NAP,57.10,Commerce de gros d'épicerie
NAP,57.11,Commerces de gros spécialisés de produits alimentaires divers
NAP,58.01,Commerce de gros d'accessoires d'automobiles et de matériel de garage
NAP,58.02,"Commerce de gros de pneumatiques, cycles et motocycles"
NAP,58.03,Commerce de gros de quincaillerie et d'appareils ménagers
NAP,58.04,Commerce de gros de matériel électrique et électronique
NAP,58.05,Commerce de gros des textiles
NAP,58.06,"Commerce de gros de l'habillement, des chaussures et de la maroquinerie"
NAP,58.07,Commerce de gros de produits pharmaceutiques
NAP,58.08,"Commerce de gros de parfumerie, produits de beauté"
NAP,58.09,"Commerce de gros de droguerie, de produits d'entretien"
NAP,58.10,Commerce de gros de céramique et verrerie
NAP,58.11,"Commerce de gros de jouets, papeterie et articles de fumeurs"
NAP,58.12,Commerces de gros divers
NAP,59.01,Commerce des textiles bruts
NAP,59.02,Commerce de gros de cuirs et peaux
NAP,59.03,"Commerce de gros de charbon, minerais et minéraux"
NAP,59.04,Commerce de gros de produits pétroliers
NAP,59.05,Commerce de métaux
NAP,59.06,Commerce de produits chimiques industriels
NAP,59.07,Commerce du bois
NAP,59.08,"Commerce de matériaux de construction, de verre à vitres et d'appareils sanitaires"
NAP,59.09,Commerce de matériel agricole
NAP,59.10,Commerce d'équipements et de fournitures pour l'industrie
NAP,59.11,Commerce de matériel et mobilier de bureau
NAP,59.12,Commerce de matériel pour le bâtiment et les travaux publics
NAP,59.13,Commerce de fournitures diverses pour les utilisateurs professionnels du commerce et des services
NAP,59.14,Commerce de papiers et cartons en l'état
NAP,60.01,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et demi produits"
NAP,60.02,"Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques pour l'industrie"
NAP,60.03,Intermédiaires du commerce en bois et matériaux de construction
NAP,60.04,"Intermédiaires du commerce en machines, matériel et véhicules"
NAP,60.05,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie"
NAP,60.06,"Intermédiaires du commerce en textiles habillement, chaussures et articles en cuir"
NAP,60.07,Intermédiaires du commerce spécialisés en produits alimentaires
NAP,60.08,Centrales d'achats en produits alimentaires
NAP,60.09,Intermédiaires du commerce spécialisés en produits non désignés ailleurs
NAP,60.10,Intermédiaires du commerce en produits divers (sans prédominance)
NAP,60.11,Centrales d'achats en produits non alimentaires
NAP,61.01,Exploitation de super marchés
NAP,61.02,Exploitation de magasins populaires
NAP,61.03,Exploitation d'hypermarchés
NAP,62.11,Commerce de détail indépendant d'alimentation générale
NAP,62.12,Exploitation de supérettes indépendantes
NAP,62.21,Exploitation de magasins d'alimentation générale dépendant d'une entreprise à magasins multiples
NAP,62.22,Exploitation de supérettes dépendant d'une entreprise à magasins multiples
NAP,62.30,Coopératives alimentaires d'entreprise ou d'administration
NAP,62.41,Commerce de détail de fruits et légumes
NAP,62.42,Commerce de détail de produits laitiers
NAP,62.43,Commerce de détail des viandes
NAP,62.44,Commerce de détail de poissons et coquillages
NAP,62.45,Commerce de détail de vins et boissons
NAP,62.46,Commerce de détail de confiserie et commerces de détail alimentaires divers
NAP,63.01,Grands magasins
NAP,63.02,Autres grandes surfaces non spécialisées non alimentaires
NAP,63.03,Grandes surfaces semi spécialisées non alimentaires
NAP,63.04,Entreprises de vente par correspondance à assortiment général
NAP,63.05,Autres commerces non alimentaires non spécialisés
NAP,64.11,Commerce de détail de l'habillement
NAP,64.12,Commerce de détail de la chaussure voyage
NAP,64.13,Commerce de détail de la maroquinerie et des articles de voyage
NAP,64.14,Commerce de détail des textiles pour la maison
NAP,64.21,Commerce de détail du meuble
NAP,64.22,Commerce de détail de quincaillerie et d'appareils ménagers
NAP,64.23,"Commerce de détail de la droguerie, couleurs vernis"
NAP,64.24,"Commerce de détail de matériel électrique, radioélectrique et électroménager"
NAP,64.25,Autres commerces de détail de l'équipement du foyer
NAP,64.30,Pharmacies
NAP,64.40,Commerce de détail d'articles médicaux et de produits de beauté
NAP,64.41,"Commerce de détail et réparation de motocycles, cycles et véhicules divers"
NAP,64.42,Commerce de détail des charbons et combustibles
NAP,64.43,"Commerce de détail de livres, papeterie et fournitures de bureau"
NAP,64.44,Commerce de détail d'optique (médicale et non médicale) et de photographie
NAP,64.45,Commerce de détail de l'horlogerie-bijouterie
NAP,64.46,"Commerce de détail de fleurs, graines et petits animaux d'agrément"
NAP,64.47,Commerce de détail d'articles de sport et de camping
NAP,64.48,Commerce de détail du tabac
NAP,64.49,Commerces de détail divers
NAP,68.01,Transports ferroviaires
NAP,69.11,Transports routiers de marchandises en zone longue
NAP,69.12,Camionnage et transport routier de marchandises en zone courte
NAP,69.21,Transports urbains de voyageurs
NAP,69.22,Transports routiers de voyageurs
NAP,69.23,Taxis
NAP,69.24,Déménagement
NAP,69.25,Location de véhicules industriels
NAP,69.26,Transport par conduite
NAP,70.01,Transports fluviaux de passagers
NAP,70.02,Transports fluviaux de marchandises
NAP,71.01,Transports maritimes autres que de produits pétroliers
NAP,71.02,Transports maritimes de produits pétroliers
NAP,71.03,Navigation côtière et d'estuaire
NAP,72.01,Transports aériens
NAP,73.01,Gares routières
NAP,73.02,Ports fluviaux et voies fluviales
NAP,73.03,Ports maritimes
